sku,name,erp_sku,erp_name
,,1FSWPSOT6_8FSWPSDCK,180cm Sussex Soft White Oval Table & 8 Sussex Dining Chairs with Black Cushions
,,1FSCMOSS_2FSCMOLAS_1FSCMOCT,"Oxford Sofa, 2 Oxford Lounge Armchairs with Sky Blue Cushions and Oxford Coffee table"
1FSPRBOT11_2FSPROA_12FSPRODC,330cm Bali Oval Table with 2 Ohio Dining Armchairs & 12 Dining Chairs,,
,,1FSWPSOT6_8FSWPSDCL,180cm Sussex Soft White Oval Table & 8 Sussex Dining Chairs with Lime Green Cushions
1TSSMDT3_4TSSSAO,San Marino 80cm Dining Table & 4 San Marino Stacking Armchairs - Olive,,
,,1FSCMOSBS_1FSCMOST,Oxford Sunbed with Sky Blue Cushion and Oxford Side table
1FSWPSOT9_2FSWPSA_10FSWPSDC,"Sussex Oval Table - 270cm, 2 Sussex Dining Armchairs & 10 Dining Chairs - Soft White",,
,,1FSAODDT6_6FSAOPDAS,Devon Dining Table - 180cm with 6 Paddock Dining Armchairs & Sky Blue Cushions
,,1FSPRKMTSRWB_2FSPRKMCEWB_1FSPRKMCOWB_1FSPRKMDCEWB_1FSPRKMCHLWB_1,Kingston Modular Sofa Set G with Beige Waterproof Cushions
,,CYWORMMLA,Spare Cushions for Mayfair Modular Lounge Armchair
1FSCMOOT7_8FSCMODA,230cm Oxford Oval Table with 8 Oxford Dining Armchairs,,
,,1FSAOPLAS_1FSAOPFS,Paddock Lounge Armchair with Paddock Footrest & Sky Blue Cushions
FSPRKLA-wgwb,Kingston Lounge Armchair,,
1FSPRKMTSRW_1FSPRKMCOW_1FSPRKMTSLW_1FSPRKQT ,Kingston Modular Garden Sofa Set D - 4 Piece,,
,,1FSPRBOT7_2FSPROAS_8FSPRODCS,230cm Bali Oval Table with 2 Ohio Dining Armchairs and 8 Ohio Dining Chairs with Standard Grey Cushions
FSWPSS-lk,Sussex Sofa - Soft White,,
,,1FSAOPSBG_2FSAOPLABG_1FSAODCT,"Paddock Sofa, 2 Paddock Lounge Armchairs & Beige Cushions with a Devon Coffee table"
,,1FSMPSRT4_6FSMPSDCB,120cm Sussex Round Table with 6 Sussex Dining Chairs - Mocha
,,FSWPSSAK,Sussex Stacking Armchair - Soft White with Black Cushion
,,FSPRKMCHLWG,Kingston Modular Chaise Left Hand with Grey Waterproof Cushions
,,1YWCRNMR_1YWCRNML_1YWCRNCT,Newbury Corner Sofa Set  &  Coffee Table
,,ALU-PART,All Seasons - Part
,,1FSPRKS3WG_1FSPRKS2WG_1FSPRKLCT,Kingston Three Seater Sofa and Kingston Two Seater Sofa with grey waterproof cushions and Kingston Large Coffee Table 
,,FSPRKLAWG,Kingston Lounge Armchair with Grey Waterproof Cushions
1FSPRKS2_2FSPRKLAW_1FSPRKSCT,Kingston Two seater sofa with Two Kingston Lounge Armchair and Kingston Small Coffee table,,
,,FSPRKLAWB,Kingston Lounge Armchair with Beige Waterproof Cushions
PPAC,Pacific Vase,,
,,1FSMPSDT7_2FSMPSAB_6FSMPSDCB,220cm Sussex Dining Table with 2 Sussex Dining Armchairs & 6 Dining Chairs - Mocha
,,1FSPRBOT9_2FSPROAS_10FSPRODCS,"270cm Bali Oval Table, 2 Ohio Dining Armchairs & 10 Dining Chairs with Standard Grey Cushions"
FSPRVSS-wgwb,Valentine Single Sunbed with Waterproof cushions,,
,,1QT6_2QCA_6QCDC,Teak Table - 180cm - with 2 club armchairs & 6 club dining chairs
,,1FSWPSOT6_6FSWPSAL,180cm Sussex Soft White Oval Table with 6 Sussex Dining Armchairs & Lime Green Cushions
,,1FSAODRT4_4FSAOPDAS,Devon Round Table - 120cm with 4 Paddock Dining Armchairs & Sky Blue Cushions
